FID,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape__Length
1,CRESTHILL ROAD,5,0, , , , , ,0,5,L175480 EB,L,175480,EB,0,CRESTHILL ROAD,DEAD END,PARSONS STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,22,0,0,0,0,0,0,0,0,3,5,5,1,0,0, ,1,1,0,0,32,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.02055184,108.51372087,33.0750482721,108.513720870622
2,ROCKVALE CIRCLE,5,0, , , , , ,0,5,L192855 EB,L,192855,EB,0,ROCKVALE CIRCLE,WASHINGTON STREET,CUL_DE_SAC,1,0,09271,1,7,2,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.0036475,19.258805,5.87009550522,19.2588050039016
3,ALLSTON STREET,5,0, , , , , ,0,5,N2526 NB,N,2526,NB,55912,ALLSTON STREET,BRIGHTON AVENUE,WASHINGTON STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,24,0,0,0,0,0,0,0,0,3,0,6,2,0,0, ,1,1,0,0,35,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3936,2016,14,0.00761087,40.1853862,12.2485302103,40.1845659349739
4,ROXBURY STREET,4,0, , , , , ,0,4,N1594 WB,N,1594,WB,53344,ROXBURY STREET,MALCOLM X BOULEVARD,ELMWOOD STREET,1,5,09271,1,4,2,0,  54,3,0,2,0,6,40,0,0,0,0,0,0,0,0,3,0,10,2,25,0, ,1,1,0,0,60,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10525,2016,14,0.02136506,112.80749521,34.3837933074,112.807495208164
5,LONGWOOD AVENUE,4,0, , , , , ,0,4,N1524 EB,N,1524,EB,45539,LONGWOOD AVENUE,BROOKLINE TOWN LINE,SAINT ALPHONSUS STREET,1,5,09271,1,4,2,0,10-1,3,0,2,0,6,35,0,0,0,0,0,0,0,0,3,12,12,2,30,30, ,1,1,0,0,59,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,16533,2016,14,0.06581768,347.51733696,105.923496152,347.517336954988
6,FOSTER STREET,5,0, , , , , ,0,5,N2519 NB,N,2519,NB,45457,FOSTER STREET,COMMONWEALTH AVENUE,SURREY STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3960,2016,14,0.03308042,174.66459615,53.2378753832,174.664596148269
7,HARVARD STREET,4,0, , , , , ,0,4,N1623 NB,N,1623,NB,57185,HARVARD STREET,CUMMINS HIGHWAY,BLUE HILL AVENUE,1,5,09271,1,4,2,0,  54,3,0,2,0,6,26,0,0,0,0,0,0,0,0,3,3,3,2,0,0, ,1,1,0,0,32,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3970,2016,14,0.20137962,1063.28440292,324.089734191,1063.28440292271
8,DUNCKLEE STREET,5,0, , , , , ,0,5,L180660 EB,L,180660,EB,0,DUNCKLEE STREET,HARRIET STREET,MADELINE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,24,0,0,0,0,0,0,0,0,3,6,6,2,0,0, ,1,1,0,0,36,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.08847192,467.13173508,142.382037616,467.131735077494
9,WASHINGTON STREET,4,0, , , , , ,0,4,N1518 EB,N,1518,EB,57524,WASHINGTON STREET,NEWTON CITY LINE,BROOKLINE TOWN LINE,1,5,09271,1,4,2,0,10-1,3,0,2,0,5,36,0,0,0,0,0,0,0,0,3,10,10,2,30,30, ,1,1,0,0,36,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10661,2016,14,0.04816225,254.29665642,77.5097758961,254.296656410161
10,BELLFLOWER STREET,5,0, , , , , ,0,5,L146572 EB,L,146572,EB,0,BELLFLOWER STREET,DORCHESTER AVENUE,BOSTON STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,40,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.13841618,730.83745171,222.759700802,730.837451714662
11,DUSTIN STREET,5,0, , , , , ,0,5,L200969 NB,L,200969,NB,0,DUSTIN STREET,NORTH BEACON STREET,CAMBRIDGE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.03376889,178.29971467,54.3458617224,178.299714675296
12,ADAMS STREET,4,0, , , , , ,0,4,N1637 EB,N,1637,EB,56958,ADAMS STREET,WASHINGTON STREET,GALLIVAN BOULEVARD,1,5,09271,1,4,2,0,  55,3,0,2,0,6,30,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,46,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10223,2016,14,0.11604152,612.69922255,186.751096535,612.699222547553
13,BEACON STREET,4,0, , , , , ,0,4,N075 NB,N,075,NB,53578,BEACON STREET,NEWTON CITY LINE,BROOKLINE TOWN LINE,1,3,09271,1,3,2,15,  54,2,0,2,0,6,24,0,0,0,0,0,0,0,0,3,6,6,2,30,30, ,1,1,0,0,60,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,23434,2016,14,0.03426175,180.90203632,55.1390509497,180.902036329743
14,WARREN AVENUE,5,0, , , , , ,0,5,L124419 NB,L,124419,NB,0,WARREN AVENUE,DEAD END,PROSPECT STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,2,3,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.1051903,555.40480936,169.287724469,555.404809359544
15,PREBLE STREET,4,0, , , , , ,0,4,N123 EB,N,123,EB,46115,PREBLE STREET,DORCHESTER AVENUE,OLD COLONY AVENUE,1,3,09271,1,3,2,15,  58,2,0,2,0,6,40,0,0,0,0,0,0,0,0,3,8,8,2,25,25, ,1,1,0,0,69,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,8478,2016,14,0.03247965,171.49254151,52.2710311936,171.492541506319
16,DORCHESTER AVENUE,4,0, , , , , ,0,4,N113 NB,N,113,NB,45853,DORCHESTER AVENUE,ADIRONDACK PLACE,SUMMER STREET,1,3,09271,1,3,2,15,92-1,2,0,2,0,6,26,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,57,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,11038,2016,14,0.09638748,508.92591519,155.120929193,508.925915191829
17,LAGRANGE STREET,4,0, , , , , ,0,4,N1584 NB,N,1584,NB,49756,LAGRANGE STREET,WASHINGTON STREET, ,1,5,09271,1,4,2,0,  54,3,0,2,0,6,34,1,3,0,0,0,0,0,0,3,5,5,2,30,30, ,1,1,0,0,50,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10242,2016,14,0.04167989,220.06983478,67.0774197951,220.069834779371
18,WILCOCK STREET,5,0, , , , , ,0,5,L208349 EB,L,208349,EB,0,WILCOCK STREET,BLUE HILL AVENUE,MORTON STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,41,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.15315427,808.65453811,246.478396172,808.654850248542
19,MYSTIC STREET,5,0, , , , , ,0,5,L159756 NB,L,159756,NB,0,MYSTIC STREET,WASHINGTON STREET,WASHINGTON STREET,1,0,09271,1,7,2,0, ,0,0,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0, ,1,1,0,0,16,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.1191323,629.01854768,191.725236784,629.018547691467
20,CHESTNUT STREET,5,0, , , , , ,0,5,L146253 EB,L,146253,EB,0,CHESTNUT STREET,WALNUT STREET,EMBANKMENT ROAD,1,0,09271,1,7,2,0, ,0,0,2,0,6,27,0,0,0,0,0,0,0,0,3,10,10,1,0,0, ,1,1,0,0,47,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.04789351,252.87774204,77.0772899277,252.877742037395
21,HEATH STREET,4,0, , , , , ,0,4,N1595 EB,N,1595,EB,57931,HEATH STREET,COLUMBUS AVENUE,SOUTH HUNTINGTON AVENUE,1,5,09271,1,4,2,0,  54,3,0,2,0,6,40,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,50,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10667,2016,14,0.01087468,57.41828968,17.501129696,57.4182896796985
22,PINEWOOD STREET,5,0, , , , , ,0,5,L187888 EB,L,187888,EB,0,PINEWOOD STREET,TAUNTON AVENUE,BIRCHCROFT ROAD,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.07874912,415.79535088,126.734676418,415.795350880147
23,WOODMONT STREET,5,0, , , , , ,0,5,L209811 EB,L,209811,EB,0,WOODMONT STREET,BROOKS STREET,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,5,24,4,3,0,0,0,0,0,0,1,6,0,2,0,0, ,1,1,0,0,34,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.05323506,281.08112634,85.6736986554,281.08112634118
24,DANUBE STREET,5,0, , , , , ,0,5,L111255 NB,L,111255,NB,0,DANUBE STREET,DEWEY STREET,BROOKFORD STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,40,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.12426414,656.11465877,199.984147961,656.114658756902
25,BORDER STREET,5,0, , , , , ,0,5,L207024 NB,L,207024,NB,0,BORDER STREET,SUMNER STREET,CONDOR STREET,1,0,09271,1,7,2,0, ,0,0,2,0,2,34,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,50,3,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.50324298,2657.12294137,809.892692316,2657.12294137536
26,LAGRANGE STREET,4,0, , , , , ,0,4,N1584 NB,N,1584,NB,51874,LAGRANGE STREET,WASHINGTON STREET, ,1,5,09271,1,4,2,0,  54,3,0,2,0,6,34,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,50,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10242,2016,14,0.07158461,377.96671695,115.204485735,377.966716953959
27,WASHINGTON STREET,4,0, , , , , ,0,4,N112 NB,N,112,NB,57346,WASHINGTON STREET,HYDE PARK AVENUE,DEVONSHIRE PLACE,1,3,09271,1,3,2,14,  54,2,0,2,0,6,28,0,0,0,0,0,0,0,0,3,10,10,2,30,30, ,1,1,0,0,65,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,23074,2016,14,0.01220215,64.42734432,19.6374938239,64.4273443217877
28,SARATOGA STREET,4,0, , , , , ,0,4,N1437 EB,N,1437,EB,56196,SARATOGA STREET,MERIDIAN STREET,BENNINGTON STREET,1,5,09271,1,4,2,0,  69,3,0,2,0,6,35,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,51,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,6683,2016,14,0.01803002,95.19852975,29.0165699008,95.1985297491586
29,NORFOLK STREET,4,0, , , , , ,0,4,N1621 NB,N,1621,NB,54783,NORFOLK STREET,BLUE HILL AVENUE,TALBOT AVENUE,1,5,09271,1,4,2,0,  54,3,0,2,0,6,44,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,60,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,0,0,0,0,0.01111062,58.66407464,17.8808457129,58.664376504808
30,CHAUNCY STREET,5,0, , , , , ,0,5,N2559 NB,N,2559,NB,55888,CHAUNCY STREET,SUMMER STREET,ESSEX STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,34,0,0,0,0,0,0,0,0,3,8,8,1,0,0, ,1,1,0,0,50,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3826,2016,14,0.08667059,457.62071546,139.483073038,457.620715458031
31,CAMBRIDGE STREET,4,0, , , , , ,0,4,N081 EB,N,081,EB,51044,CAMBRIDGE STREET,WASHINGTON STREET,SOLDIERS FIELD FRONTAGE ROAD WB,1,3,09271,1,3,2,15, 104,2,0,3,3,6,30,0,0,0,0,0,0,8,1,3,6,6,2,35,0, ,1,1,0,0,65,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,41643,2016,14,0.04412927,233.00256244,71.0193230716,233.002562448855
32,CHELSEA STREET,4,0, , , , , ,0,4,N1433 NB,N,1433,NB,44096,CHELSEA STREET,MAVERICK STREET,CURTIS STREET,1,5,09271,1,4,2,0,  69,3,0,2,0,6,50,0,0,0,0,0,0,0,0,3,10,10,2,0,0, ,1,1,0,0,70,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10695,2016,14,0.0671193,354.38990776,108.018259922,354.389907756522
33,BOYLSTON STREET,5,0, , , , , ,0,5,N3090 NB,N,3090,NB,57660,BOYLSTON STREET,WASHINGTON STREET,CENTRE STREET,1,6,09271,1,5,2,0,  47,3,0,2,0,6,22,0,0,0,0,0,0,0,0,3,6,6,2,0,0, ,1,1,0,0,34,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3999,2016,14,0.03098774,163.61527217,49.8700346976,163.61527216916
34,BOYLSTON STREET,4,0, , , , , ,0,4,N150 NB,N,150,NB,45267,BOYLSTON STREET,BROOKLINE AVENUE,BOYLSTON STREET,1,2,09271,1,3,2,14,  54,2,0,4,0,6,50,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,110,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,34425,2016,14,0.13845061,731.0192183,222.815103368,731.019218301303
35,CUMMINGTON MALL,5,0, , , , , ,0,5,L115043 NB,L,115043,NB,0,CUMMINGTON MALL,COMMONWEALTH AVENUE,BLANDFORD STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,34,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,50,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.05634888,297.52209111,90.6849147393,297.52209111602
36,GUERNSEY STREET,5,0, , , , , ,0,5,L152288 NB,L,152288,NB,0,GUERNSEY STREET,COLBERT STREET,CENTRE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,41,2,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.13798689,728.57076951,222.068814683,728.570769503029
37,PARKER STREET,5,0, , , , , ,0,5,N3183 SB,N,3183,SB,58487,PARKER STREET,HUNTINGTON AVENUE,BICKFORD STREET,1,6,09271,1,5,2,0,83-1,3,0,2,0,6,42,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,56,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3953,2016,14,0.05476232,289.14504191,88.1315850371,289.145041904846
38,AYLES ROAD,5,0, , , , , ,0,5,L128346 NB,L,128346,NB,0,AYLES ROAD,SAFFORD STREET,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.2510777,1325.69026782,404.071201774,1325.6902678233
39,BOSTON STREET,4,0, , , , , ,0,4,N1610 EB,N,1610,EB,58492,BOSTON STREET,COLUMBIA ROAD,AL ZWIERCAN WAY,1,5,09271,1,4,2,0,  54,3,0,2,0,6,41,0,0,0,0,0,0,0,0,3,11,11,2,30,30, ,1,1,0,0,63,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,9930,2016,14,0.02969297,156.77886475,47.7862935497,156.779590376487
40,KENNETH STREET,5,0, , , , , ,0,5,L208854 NB,L,208854,NB,0,KENNETH STREET,BEECH STREET,STRATFORD STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.06365084,336.07642302,102.436298609,336.076423020397
41,CHARLES STREET SOUTH,4,0, , , , , ,0,4,N473 NB,N,473,NB,53498,CHARLES STREET SOUTH,TREMONT STREET,STUART STREET,1,3,09271,1,3,2,15,  54,2,0,3,0,6,38,0,0,0,0,0,0,0,0,3,16,16,1,25,0, ,1,1,0,0,0,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,7869,2016,14,0.03610471,190.63284356,58.1050069262,190.63284355366
42,COOKSON TERRACE,5,0, , , , , ,0,5,L123271 NB,L,123271,NB,0,COOKSON TERRACE,BABSON STREET,MEROLA PARK,1,0,09271,1,7,2,0, ,0,0,1,0,6,14,0,0,0,0,0,0,0,0,2,0,3,1,0,0, ,1,1,0,0,30,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.07482557,395.07899838,120.420319548,395.078998387641
43,NORTH HARVARD STREET,4,0, , , , , ,0,4,N1515 NB,N,1515,NB,52218,NORTH HARVARD STREET,RAMP-SOLDIERS FIELD RD WB TO N HARVARD ST,CAMBRIDGE STREET,1,5,09271,1,4,2,0,  54,3,0,2,0,6,40,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,56,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10453,2016,14,0.03692439,194.96080442,59.4241720364,194.960804427635
44,CAMBRIDGE STREET,4,0, , , , , ,0,4,N081 WB,N,081,WB,62647,CAMBRIDGE STREET,WASHINGTON STREET,SOLDIERS FIELD FRONTAGE ROAD WB,1,3,09271,1,3,2,9,10-1,2,0,3,3,6,30,0,0,0,0,0,0,8,1,3,6,6,2,25,0, ,1,1,0,0,76,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,0,36343,2009,4,0.09714884,512.94588317,156.346217882,512.945883169859
45,WASHINGTON STREET,4,0, , , , , ,0,4,N073 NB,N,073,NB,48203,WASHINGTON STREET,DEDHAM TOWN LINE,SOUTH STREET,1,3,09271,1,3,2,15,16-2,2,0,2,0,6,22,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,65,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,22724,2016,14,0.03633232,191.8346341,58.4713134158,191.834634096123
46,TREMONT STREET,5,0, , , , , ,0,5,L155191 EB,L,155191,EB,0,TREMONT STREET,MONUMENT SQUARE,LOWNEY WAY,1,0,09271,1,7,2,0, ,0,0,2,0,5,20,0,0,0,0,0,0,0,0,3,4,4,2,0,0, ,1,1,0,0,28,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.0743032,392.32090159,119.579649964,392.320901597863
47,HARVARD STREET,4,0, , , , , ,0,4,N1623 NB,N,1623,NB,48996,HARVARD STREET,CUMMINS HIGHWAY,BLUE HILL AVENUE,1,5,09271,1,4,2,0,  54,3,0,2,0,6,39,0,0,0,0,0,0,0,0,3,5,6,2,0,0, ,1,1,0,0,50,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3970,2016,14,0.01891122,99.85124368,30.4347199423,99.8505171894755
48,MAVERICK STREET,4,0, , , , , ,0,4,N1428 NB,N,1428,NB,51570,MAVERICK STREET,DEAD END,CHELSEA STREET,1,5,09271,1,4,2,0,  69,3,0,2,0,6,40,0,0,0,0,0,0,0,0,3,10,10,2,20,0, ,2,2,0,0,60,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,11056,2016,14,0.07939555,419.20852667,127.77501448,419.208526676876
49,BERKELEY STREET,4,0, , , , , ,0,4,N130 NB,N,130,NB,51703,BERKELEY STREET,TREMONT STREET,STORROW DRIVE,1,3,09271,1,3,2,4,  61,2,0,2,0,6,32,0,0,0,0,0,0,0,0,3,8,8,1,30,30, ,1,1,0,0,94,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,12867,2016,14,0.02882272,152.18397927,46.3857696521,152.183979275594
50,COMMONWEALTH AVENUE,2,3,30, , , , ,0,2,SR30 WB,SR,30,WB,62278,COMMONWEALTH AVENUE,ARLINGTON STREET,NEWTON CITY LINE,1,3,09271,1,3,2,15,80-1,3,0,2,2,6,24,0,0,0,0,0,0,30,2,3,0,8,2,30,0, ,1,1,0,0,120,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,0,14000,2009,1,0.0449534,237.35394013,72.3456256437,237.353940135669
51,THOMAS PARK,5,0, , , , , ,0,5,L153669 EB,L,153669,EB,0,THOMAS PARK,G STREET,G STREET,1,0,09271,1,7,2,0, ,0,0,1,0,6,28,0,0,0,0,0,0,0,0,3,0,9,2,0,0, ,1,1,0,0,46,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.37241052,1966.32756631,599.337840887,1966.32756630528
52,CHARLES STREET,4,0, , , , , ,0,4,N409 EB,N,409,EB,44536,CHARLES STREET,BOYLSTON STREET,CHARLES STREET CIRCLE,1,3,09271,1,3,2,15,  61,2,0,3,0,6,32,0,0,0,0,0,0,0,0,3,10,10,1,25,25, ,1,1,0,0,64,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,22191,2016,14,0.07349763,388.0674652,118.283199958,388.067465196523
53,ELY ROAD,5,0, , , , , ,0,5,L210563 EB,L,210563,EB,0,ELY ROAD,FREDERIKA STREET,KENMARE ROAD,1,0,09271,1,7,2,0, ,0,0,2,0,5,26,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,40,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.10183868,537.70821999,163.89379324,537.708219981214
54,COREY STREET,5,0, , , , , ,0,5,L133643 EB,L,133643,EB,0,COREY STREET,NEWTON CITY LINE,PARK STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,24,0,0,0,0,0,0,0,0,3,6,6,2,0,0, ,1,1,0,0,42,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.03923988,207.1865822,63.1505965544,207.186582195533
55,FIFTH STREET,5,0, , , , , ,0,5,L213852 NB,L,213852,NB,0,FIFTH STREET,CHELSEA STREET,FIRST AVENUE,1,0,09271,1,7,2,0, ,0,0,2,0,6,48,0,0,0,0,0,0,0,0,3,0,0,2,0,0, ,1,1,0,0,0,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.07785174,411.05720504,125.290486678,411.057205044361
56,NEPTUNE ROAD,5,0, , , , , ,0,5,L114766 NB,L,114766,NB,0,NEPTUNE ROAD,DEAD END,DEAD END,1,0,09271,1,7,2,0, ,0,0,1,1,6,20,0,0,0,0,0,0,20,1,3,0,10,2,0,0, ,1,1,0,0,80,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,0,0,0,0,0.12071176,637.35807256,194.267129052,637.358072565191
57,NORWAY PARK,5,0, , , , , ,0,5,L202654 EB,L,202654,EB,0,NORWAY PARK,WARREN AVENUE,SUMMIT STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,41,2,3,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.14056057,742.15981919,226.21076531,742.15981919372
58,BURNEY STREET,5,0, , , , , ,0,5,L178003 NB,L,178003,NB,0,BURNEY STREET,DELLE AVENUE,TREMONT STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,24,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,40,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.05881796,310.55882153,94.6585181182,310.558821535226
59,WASHINGTON STREET,4,0, , , , , ,0,4,N073 NB,N,073,NB,48122,WASHINGTON STREET,DEDHAM TOWN LINE,SOUTH STREET,1,3,09271,1,3,2,15,16-2,2,0,2,0,6,22,0,0,0,0,0,0,0,0,3,8,8,2,30,30, ,1,1,0,0,65,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,22724,2016,14,0.01065647,56.26614864,17.1499564044,56.2661486420642
60,NEW CHARDON STREET,4,0, , , , , ,0,4,N418 EB,N,418,EB,56417,NEW CHARDON STREET,CAMBRIDGE STREET,NEW CHARDON STREET,1,3,09271,1,3,2,4, 127,2,0,4,0,6,42,0,0,0,0,0,0,0,0,3,12,12,1,25,25, ,1,1,0,0,80,2,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,21974,2016,14,0.03401927,179.62174171,54.7488163713,179.621741715392
61,SAVIN HILL AVENUE,5,0, , , , , ,0,5,N3073 EB,N,3073,EB,47069,SAVIN HILL AVENUE,PLEASANT STREET,SYDNEY STREET,1,6,09271,1,5,2,0,  55,3,0,2,0,6,35,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,51,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3795,2016,14,0.04052197,213.95599563,65.2139178945,213.955995627013
